"","Cycle","Replicate","M.ID"
"1","C0","01","C01"
"2","C0","10","C010"
"3","C0","11","C011"
"4","C0","12","C012"
"5","C0","13","C013"
"6","C0","14","C014"
"7","C0","15","C015"
"8","C0","16","C016"
"9","C0","17","C017"
"10","C0","18","C018"
"11","C0","19","C019"
"12","C0","02","C02"
"13","C0","20","C020"
"14","C0","03","C03"
"15","C0","04","C04"
"16","C0","05","C05"
"17","C0","06","C06"
"18","C0","07","C07"
"19","C0","08","C08"
"20","C0","09","C09"
"21","C1","01","C11"
"22","C1","10","C110"
"23","C1","11","C111"
"24","C1","12","C112"
"25","C1","13","C113"
"26","C1","14","C114"
"27","C1","15","C115"
"28","C1","16","C116"
"29","C1","17","C117"
"30","C1","18","C118"
"31","C1","19","C119"
"32","C1","02","C12"
"33","C1","20","C120"
"34","C1","03","C13"
"35","C1","04","C14"
"36","C1","05","C15"
"37","C1","06","C16"
"38","C1","07","C17"
"39","C1","08","C18"
"40","C1","09","C19"
"41","C4","01","C41"
"42","C4","10","C410"
"43","C4","11","C411"
"44","C4","12","C412"
"45","C4","13","C413"
"46","C4","14","C414"
"47","C4","15","C415"
"48","C4","16","C416"
"49","C4","17","C417"
"50","C4","18","C418"
"51","C4","19","C419"
"52","C4","02","C42"
"53","C4","20","C420"
"54","C4","03","C43"
"55","C4","04","C44"
"56","C4","05","C45"
"57","C4","06","C46"
"58","C4","07","C47"
"59","C4","08","C48"
"60","C4","09","C49"
"61","C6","01","C61"
"62","C6","10","C610"
"63","C6","11","C611"
"64","C6","12","C612"
"65","C6","13","C613"
"66","C6","14","C614"
"67","C6","15","C615"
"68","C6","16","C616"
"69","C6","17","C617"
"70","C6","18","C618"
"71","C6","19","C619"
"72","C6","02","C62"
"73","C6","20","C620"
"74","C6","03","C63"
"75","C6","04","C64"
"76","C6","05","C65"
"77","C6","06","C66"
"78","C6","07","C67"
"79","C6","08","C68"
"80","C6","09","C69"
"81","C7","01","C71"
"82","C7","10","C710"
"83","C7","11","C711"
"84","C7","12","C712"
"85","C7","13","C713"
"86","C7","14","C714"
"87","C7","15","C715"
"88","C7","16","C716"
"89","C7","17","C717"
"90","C7","18","C718"
"91","C7","19","C719"
"92","C7","02","C72"
"93","C7","20","C720"
"94","C7","03","C73"
"95","C7","04","C74"
"96","C7","05","C75"
"97","C7","06","C76"
"98","C7","07","C77"
"99","C7","08","C78"
"100","C7","09","C79"
